STT,Giai đoạn,Công việc,Mô tả chi tiết,Người phụ trách,Dependencies,Trạng thái,Ghi chú
1,GIAI ĐOẠN 1: CHUẨN BỊ HẠ TẦNG,,,,,, 
1.1,,Chuẩn bị Monitoring Server,Provision VM Ubuntu 22.04 LTS với 16GB RAM 8 CPU 500GB SSD,DevOps Lead,,Chưa thực hiện,
1.2,,Cài đặt Docker & Docker Compose,"Cài Docker 24.0+, Docker Compose 2.20+",DevOps Lead,1.1,Chưa thực hiện,
1.3,,Cấu hình firewall,"Mở ports: 3000 (Grafana), 9090 (Prometheus), 3100 (Loki), 4317/4318 (Tempo), 9093 (Alertmanager)",DevOps Lead,1.1,Chưa thực hiện,
1.4,,Clone repository,Clone monitor-repo về /opt/monitor-repo,DevOps Lead,1.2,Chưa thực hiện,
1.5,,Cấu hình .env file,"Tạo .env từ .env.example, điền Telegram bot token, DB connections",DevOps Lead,1.4,Chưa thực hiện,
2,GIAI ĐOẠN 2: TRIỂN KHAI LGTM STACK,,,,,, 
2.1,,Start LGTM Stack,docker compose up -d trong grafana-prometheus/,DevOps Engineer,1.5,Chưa thực hiện,
2.2,,Verify containers running,Kiểm tra 7 containers: prometheus grafana loki tempo otel-collector alertmanager promtail,DevOps Engineer,2.1,Chưa thực hiện,
2.3,,Kiểm tra Grafana UI,Truy cập http://monitoring-server:3000 login admin/password,DevOps Engineer,2.2,Chưa thực hiện,
2.4,,Verify datasources,Kiểm tra Prometheus Loki Tempo datasources status Working,DevOps Engineer,2.3,Chưa thực hiện,
2.5,,Test Prometheus targets,Truy cập http://monitoring-server:9090/targets kiểm tra self-monitoring,DevOps Engineer,2.2,Chưa thực hiện,
3,GIAI ĐOẠN 3: CẤU HÌNH MONITORING TARGETS,,,,,, 
3.1,,Cập nhật targets.node.json,Thêm danh sách 31 servers với IP:9100,DevOps Engineer,2.5,Chưa thực hiện,
3.2,,Cập nhật targets.cadvisor.json,Thêm servers chạy Docker containers với IP:8080,DevOps Engineer,2.5,Chưa thực hiện,
3.3,,Cập nhật targets.nginx.json,Thêm web servers với IP:9113,DevOps Engineer,2.5,Chưa thực hiện,
3.4,,Verify targets auto-reload,Kiểm tra Prometheus tự động phát hiện targets mới (không cần restart),DevOps Engineer,3.1,Chưa thực hiện,
4,GIAI ĐOẠN 4: TRIỂN KHAI NODE EXPORTER,,,,,, 
4.1,,Cài Node Exporter trên tất cả servers,Cài đặt Node Exporter v1.7.0 trên 31 servers qua systemd hoặc Docker,DevOps Team,3.1,Chưa thực hiện,Có thể dùng Ansible để automate
4.2,,Verify Node Exporter endpoints,curl http://server:9100/metrics kiểm tra từng server,DevOps Team,4.1,Chưa thực hiện,
4.3,,Kiểm tra targets UP trong Prometheus,Verify tất cả node_exporter targets hiển thị UP,DevOps Engineer,4.2,Chưa thực hiện,
5,GIAI ĐOẠN 5: TRIỂN KHAI CADVISOR,,,,,, 
5.1,,Cài cAdvisor trên Docker hosts,Deploy cAdvisor container trên servers chạy Docker,DevOps Team,3.2,Chưa thực hiện,
5.2,,Verify cAdvisor metrics,curl http://server:8080/metrics kiểm tra container metrics,DevOps Team,5.1,Chưa thực hiện,
5.3,,Kiểm tra targets UP trong Prometheus,Verify cadvisor targets hiển thị UP,DevOps Engineer,5.2,Chưa thực hiện,
6,GIAI ĐOẠN 6: TRIỂN KHAI DATABASE EXPORTERS,,,,,, 
6.1,,Cài PostgreSQL Exporter,Deploy postgres_exporter trên PostgreSQL servers với DATA_SOURCE_NAME,Database Team,3.1,Chưa thực hiện,
6.2,,Tạo PostgreSQL monitoring user,CREATE USER exporter_user WITH PASSWORD; GRANT pg_monitor TO exporter_user,Database Team,6.1,Chưa thực hiện,
6.3,,Cài MongoDB Exporter,Deploy mongodb_exporter với --collect-all --compatible-mode,Database Team,3.1,Chưa thực hiện,
6.4,,Tạo MongoDB monitoring user,db.createUser với role clusterMonitor,Database Team,6.3,Chưa thực hiện,
6.5,,Verify database exporters,Kiểm tra metrics endpoints :9187 (PG) và :9216 (Mongo),Database Team,"6.2,6.4",Chưa thực hiện,
6.6,,Cập nhật Prometheus config,Thêm static_configs cho database exporters trong prometheus.yml,DevOps Engineer,6.5,Chưa thực hiện,
7,GIAI ĐOẠN 7: TRIỂN KHAI NGINX EXPORTER,,,,,, 
7.1,,Enable Nginx stub_status,Thêm location /stub_status vào Nginx config,Web Team,3.3,Chưa thực hiện,
7.2,,Reload Nginx,nginx -t && systemctl reload nginx,Web Team,7.1,Chưa thực hiện,
7.3,,Cài Nginx Exporter,Deploy nginx-prometheus-exporter với --nginx.scrape-uri,Web Team,7.2,Chưa thực hiện,
7.4,,Verify Nginx metrics,curl http://server:9113/metrics,Web Team,7.3,Chưa thực hiện,
8,GIAI ĐOẠN 8: CẤU HÌNH ALERTING,,,,,, 
8.1,,Tạo Telegram Bot,Tạo bot qua @BotFather lấy bot token,DevOps Lead,,Chưa thực hiện,
8.2,,Lấy Telegram Chat ID,Gửi message cho bot và lấy chat_id qua API,DevOps Lead,8.1,Chưa thực hiện,
8.3,,Cập nhật .env với Telegram credentials,TELEGRAM_BOT_TOKEN và TELEGRAM_CHAT_ID,DevOps Lead,8.2,Chưa thực hiện,
8.4,,Restart Alertmanager,docker compose restart alertmanager,DevOps Engineer,8.3,Chưa thực hiện,
8.5,,Test alert delivery,Stop một exporter và verify nhận alert qua Telegram,DevOps Engineer,8.4,Chưa thực hiện,
8.6,,Review alert rules,Kiểm tra rules.alert.yml rules.postgres.yml rules.mongodb.yml,DevOps Lead,8.5,Chưa thực hiện,
9,GIAI ĐOẠN 9: CẤU HÌNH LOGS COLLECTION,,,,,, 
9.1,,Verify Promtail running,Kiểm tra Promtail container đang chạy và có access Docker socket,DevOps Engineer,2.2,Chưa thực hiện,
9.2,,Test log push to Loki,curl -X POST http://loki:3100/loki/api/v1/push với test log,DevOps Engineer,9.1,Chưa thực hiện,
9.3,,Verify logs trong Grafana Explore,Query {job="docker"} trong Grafana,DevOps Engineer,9.2,Chưa thực hiện,
9.4,,Setup application logging (Pino-Loki),Tích hợp pino-loki vào NestJS backend theo PINO_LOKI_INTEGRATION.md,Backend Team,9.3,Chưa thực hiện,
10,GIAI ĐOẠN 10: CẤU HÌNH DISTRIBUTED TRACING,,,,,, 
10.1,,Verify OTEL Collector running,Kiểm tra otel-collector container và ports 4317/4318,DevOps Engineer,2.2,Chưa thực hiện,
10.2,,Instrument application với OTEL SDK,Thêm @opentelemetry/sdk-node vào applications,Backend Team,10.1,Chưa thực hiện,
10.3,,Cấu hình OTLP exporter,Set OTEL_EXPORTER_OTLP_ENDPOINT=http://monitor-server:4318/v1/traces,Backend Team,10.2,Chưa thực hiện,
10.4,,Test trace ingestion,Gửi test request và verify trace trong Grafana Tempo,Backend Team,10.3,Chưa thực hiện,
10.5,,Verify trace-log correlation,Kiểm tra trace_id xuất hiện trong logs,Backend Team,10.4,Chưa thực hiện,
11,GIAI ĐOẠN 11: IMPORT DASHBOARDS,,,,,, 
11.1,,Import Node Exporter Full dashboard,Dashboard ID 1860 từ Grafana.com,DevOps Engineer,2.4,Chưa thực hiện,
11.2,,Import Docker Container Metrics,Dashboard cho cAdvisor metrics,DevOps Engineer,5.3,Chưa thực hiện,
11.3,,Import PostgreSQL dashboard,Dashboard cho PostgreSQL metrics,DevOps Engineer,6.5,Chưa thực hiện,
11.4,,Import MongoDB dashboard,Dashboard cho MongoDB metrics,DevOps Engineer,6.5,Chưa thực hiện,
11.5,,Tạo custom Application dashboard,Dashboard cho application-specific metrics,DevOps Engineer,"9.3,10.4",Chưa thực hiện,
11.6,,Tạo Overview dashboard,Dashboard tổng quan với Golden Signals,DevOps Lead,11.5,Chưa thực hiện,
12,GIAI ĐOẠN 12: TESTING & VERIFICATION,,,,,, 
12.1,,Test metrics collection,Verify metrics từ tất cả exporters xuất hiện trong Prometheus,QA/DevOps,4.3,Chưa thực hiện,
12.2,,Test logs collection,Verify logs từ Docker và applications xuất hiện trong Loki,QA/DevOps,9.3,Chưa thực hiện,
